src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
D19,P25,+,3,,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"Anthropogenic GHG emissions in Abu Dhabi have been driven largely by economic and population growth, total emissions rose 21.5 % from 2010 to 2018 in line with GDP growth of 4 % per year, and GHG showed a correlation of 0.87 with GDP."
D19,D05,+,3,,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"GHG emissions were driven by economic and population growth and the increasing demand for water and energy, and energy subsector emissions were consistently proportional to production quantities in combined electricity and water generation over 2010 to 2018."
D19,D08,+,3,,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"GHG emissions in manufacturing and construction were consistently proportional to the non-oil GDP along the whole period 2010 to 2018."
D19,D01,+,2,,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"The 2.8 % average annual growth of emissions was in line with the emirate's population growth of 4 % and GDP growth of 4 %, and GHG correlated 0.91 with population and 0.87 with GDP, so economic and population growth move together as drivers."
D20,P24,+,1,,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Emissions from livestock are those associated with the excreta of agricultural livestock and manure management and are especially relevant for NH3, NO and NMVOC, though NH3 was not quantified in the inventory."
D20,P13,+,2,,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Livestock emitted approximately 727 t PM10 and 319 t PM2.5 in 2015, calculated as animal numbers times an emission factor, and the inventory calls livestock a relatively important source of PM, with sheep and goats the largest contributor."
D20,P14,+,1,,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Livestock emitted approximately 2,255 t NMVOC in 2015 against 61,600 t from oil and gas, and the inventory calls livestock a relatively important source of NMVOC emissions."
D21,S23,+,3,,2,abu_dhabi,"Dahy 2025, Tracing the Heat: LULC changes and urban heat island dynamics in Abu Dhabi",https://isprs-archives.copernicus.org/articles/XLVIII-G-2025/339/2025/isprs-archives-XLVIII-G-2025-339-2025.pdf,yes,"Reclamation areas show sustained warming in both seasons, +2.93 degC per year in summer and +4.20 degC per year in winter, and the loss of water bodies and green spaces due to reclamation exacerbates warming trends despite urban cooling interventions."
D02,D21,+,2,,2,abu_dhabi,"Dahy 2025, Tracing the Heat: LULC changes and urban heat island dynamics in Abu Dhabi",https://isprs-archives.copernicus.org/articles/XLVIII-G-2025/339/2025/isprs-archives-XLVIII-G-2025-339-2025.pdf,yes,"Abu Dhabi's expansion from 1972 to 2024 proceeded through urban expansion, coastal reclamation and land inundation, with reclamation surges driven by artificial island and coastal development projects."
P27,P03,+,1,,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Fugitive NMVOC from filling and withdrawal of petrol tanks at service stations and refuelling of petrol cars was estimated at 192.88 t in 2015, against 34,878 t road transport NMVOC, using 2,880 kg per kt of petrol sold."
