src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
D03,P01,+,3,0.34,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Road transport provides 34 % of total NOx emissions in Abu Dhabi Emirate in 2015 (36,017 t of 105,986 t)."
D03,P02,+,2,0.17,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Road transport provides 17 % of total PM2.5 emissions (1,464 t exhaust PM) in Abu Dhabi Emirate in 2015."
D03,P03,+,3,0.34,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Road transport provides 34 % of total NMVOC emissions (34,878 t), associated with petrol passenger cars, and 74 % of CO with passenger cars around 80 % of traffic CO."
D10,P01,+,3,,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Buses and heavy duty vehicles are the main contributors to road NOx emissions because both run mostly on diesel while 100 % of passenger cars in Abu Dhabi run on petrol."
D08,P11,+,3,0.42,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Oil and gas production contributes 42 % of total NOx, of which 75 % derives from processing and refining, and the industry sector adds 8,315 t with cement 47 % and aluminium 29 % of industrial NOx."
D08,P12,+,3,0.95,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"The oil and gas sector contributed 95 % of SO2 (353,998 t of 370,732 t), 85 % of it from processing and refining, and aluminium contributed 74 % of the industry sector SOx."
D08,P13,+,3,0.45,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"For PM10 and PM2.5 most emissions derived from industrial processing (45 % and 42 %) and oil and gas (28 % and 32 %), with aluminium, iron and steel, cement and concrete the key emitting industries."
D08,P14,+,3,0.60,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"The oil and gas sector contributed 60 % of NMVOC emissions (61,663 t), with 85 % of the oil and gas NMVOC from exploration and production."
D08,P15,+,1,,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Emissions from Al Hosn were not typical for 2015 due to start-up and commissioning of the Shah gas plant, during which higher flaring levels were recorded."
D05,P07,+,2,0.13,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Electricity generation contributed 13 % of NOx (13,479 t) with an average indicator of 0.14 t NOx per GWh, and the highest emitting plants are those producing the most electricity and water."
D05,P08,+,1,0.004,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Electricity generation emitted 1,586 t SO2 of a 370,732 t total in 2015, under 1 %, because 99.84 % of fuel combusted was natural gas."
D05,P09,+,1,0.02,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Electricity generation emitted 173 t PM10 and 172 t PM2.5 of totals of 9,888 t and 8,604 t in 2015, about 2 %."
D07,P10,+,3,0.31,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"An average fuel allocation factor to water desalination of 31 % of power plant fuel is used, giving 0.02 t NOx per million imperial gallons of desalinated water."
D12,P20,+,1,0.016,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Shipping emitted 1,650 t NOx, 949 t SO2 and 192 t PM10 in 2015 (1.6 % of NOx), with ocean going vessels about 95 % and harbour vessels about 5 % of shipping emissions."
D11,P21,+,1,0.024,3,abu_dhabi,"EAD 2018, Abu Dhabi Air Emissions Inventory",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/Abu-Dhabi-Air-Emission-Inventory-2018.pdf,yes,"Aviation emitted 2,529 t NOx (2.4 % of total), 156 t SO2 and 15 t PM10 in 2015, located at the main airports."
D01,P25,+,3,,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"GHG emissions have been driven largely by economic and population growth and the increasing demand for water and energy, rising 21.5 % from 2010 to 2018 in line with population growth of 4 % per year, with a correlation of 0.91 with population."
D05,P25,+,3,0.38,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"Production of public electricity and water desalination contributed 38 % of all CO2 emissions in 2018, at a carbon intensity of 0.39 kg CO2 per kWh."
D08,P25,+,3,0.50,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"Oil and gas extraction and processing contributed 19 % and manufacturing and industrial processes 31 % of CO2 emissions in 2018."
D03,P25,+,2,0.11,3,abu_dhabi,"EAD 2021, Greenhouse Gas Inventory and Projections for Abu Dhabi Emirate",https://www.ead.gov.ae/-/media/Project/EAD/EAD/Documents/Resources/EAD-GHG-Executive-Summary-Report-EN-final.pdf,yes,"Transport contributed 11 % of CO2 emissions in 2018."
D06,D05,+,3,0.60,3,uae,"Afshari 2014, Life-Cycle Analysis of Building Retrofits at the Urban Scale UAE",https://doi.org/10.3390/su6010453,yes,"In the UAE and the Emirate of Abu Dhabi the air-conditioning load in buildings constitutes more than 60 % of the total energy consumption."
D16,D05,+,2,,3,abu_dhabi,"Friedrich 2015, Short-term Forecasting of the Abu Dhabi Electricity Load Using Multiple Weather Variables",https://doi.org/10.1016/j.egypro.2015.07.616,yes,"Measured hourly temperature, specific humidity, global horizontal irradiation and wind speed were the exogenous drivers used to forecast Abu Dhabi city electricity load to within 1.5 % at a 24 hour horizon."
D16,D06,+,2,,4,gulf,"The National 2024, How can the Gulf cool its reliance on air conditioning (quoting Krarti)",https://www.thenationalnews.com/climate/2024/05/23/how-can-the-gulf-cool-its-reliance-on-air-conditioning/,yes,"A 1 degC increase in temperature results in about 10 per cent greater AC energy consumption to maintain the same temperature in a typical Gulf home, and AC accounts for 65 to 70 per cent of home electricity."
D13,D03,-,1,,2,global,"Arzaghi 2015, How price inelastic is demand for gasoline in fuel-subsidizing economies",https://doi.org/10.1016/j.eneco.2015.04.009,yes,"Panel of 32 fuel-subsidising countries 1998 to 2010: short-run price elasticity of gasoline demand is -0.05 and long-run -0.25, with income elasticity 0.16 short run and 0.81 long run."
D04,D14,+,2,0.45,2,abu_dhabi,"Badri 2012, Mode of travel and the decision to allow children to walk or bike to schools, Abu Dhabi",https://doi.org/10.4236/ojpm.2012.24071,yes,"Of 1,145 Abu Dhabi parents surveyed, 45 % of children are driven to school by car and 38.1 % use the school bus, and the number of cars owned by the family was significantly associated with the parents' mode decision."
D15,D14,+,1,,2,abu_dhabi,"Badri 2012, Mode of travel and the decision to allow children to walk or bike to schools, Abu Dhabi",https://doi.org/10.4236/ojpm.2012.24071,yes,"Most children live 5 to 15 km from their schools, and even among those under 3 km only 24.1 % walk or bike while 49.8 % ride a car."
D01,D02,+,3,,2,abu_dhabi,"Issa 2023, Modelling and Visualizing Urban Growth Trajectory in Abu Dhabi",https://doi.org/10.5194/isprs-archives-XLVIII-M-1-2023-145-2023,yes,"Urban area of Abu Dhabi city grew about 1487 % from 3,831 ha in 1990 to 56,969 ha in 2022 and urban growth is mainly resulting from economic and population growth, with urbanization following the same trend as population."
