id,problem,problem_name,edge,class,solution,G1 reach,G2 semester,G3 additive,G4 no law change,gates,User,Feasibility,Implementability,Usability,Market,Impact,Measurability,Time,Novelty,Cure,Transfer,round 1 score (max 65),weighted score (max 90)
P1-01,P1,Construction workers and site neighbours,A12->P16,cut the source,"Scheduled water misting of haul roads and active earthwork faces, frequency set by a site wind and humidity reading","pass, to verify",pass,pass,pass,through,3,4,3,3,3,4,4,4,2,4,3,47,62
P1-02,P1,Construction workers and site neighbours,A12->P16,cut the source,Surfactant or polymer binder sprayed on unpaved site roads (Chang 2010: about 93 % control on unpaved roads),pass,pass,pass,pass,through,3,4,3,4,3,4,4,4,2,4,3,48,63
P1-03,P1,Construction workers and site neighbours,A12->P16,cut the source,Covered stockpiles with windbreak netting on the upwind side,pass,pass,"pass, to verify",pass,through,2,5,4,4,3,3,3,5,1,3,4,47,59
P1-04,P1,Construction workers and site neighbours,A12->P16,cut the source,Wheel-wash and rumble grid at the site exit so trucks do not carry mud onto public roads,"pass, to verify",pass,"pass, to verify",pass,through,2,4,3,4,3,2,3,4,1,3,3,39,50
P1-05,P1,Construction workers and site neighbours,A12->P16,cut the source,"Enclosed on-site crushing with water spray at the crusher (Bello 2019: below the PEL with the crusher's own spray, not with a water cannon)",fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-06,P1,Construction workers and site neighbours,A12->P16,cut the source,"Wet cutting mandatory for concrete and block cutting, dry cutting banned on site (Middaugh 2012: 78 % cut)","pass, to verify",pass,"pass, to verify",pass,through,4,4,3,3,3,4,4,5,1,4,4,49,63
P1-07,P1,Construction workers and site neighbours,A12->P16,cut the source,Vacuum-shrouded saws and grinders with HEPA extraction for finishing trades,"pass, to verify",pass,pass,pass,through,4,4,3,3,3,3,4,5,2,4,4,46,62
P1-08,P1,Construction workers and site neighbours,A12->P16,cut the source,Pre-wetting of structures before demolition and during breaking,fail,pass,"pass, to verify",pass,out,,,,,,,,,,,,,
P1-09,P1,Construction workers and site neighbours,A12->P16,cut the source,Paving or gravelling the main haul road in the first month of the project instead of the last,fail,pass,pass,pass,out,,,,,,,,,,,,,
P1-10,P1,Construction workers and site neighbours,A12->P16,cut the source,"15 km/h site speed limit with a speed bump at the gate, which cuts road-dust lift","pass, to verify",pass,pass,pass,through,2,5,4,4,4,2,3,5,1,3,5,45,58
P1-11,P1,Construction workers and site neighbours,A12->S30,cut the path,Perimeter dust fence whose height is set per wind direction by CFD (Choi 2023),fail,pass,pass,pass,out,,,,,,,,,,,,,
P1-12,P1,Construction workers and site neighbours,A12->S30,cut the path,Fenceline PM10 sensors that trigger the perimeter misting line automatically above a threshold,pass,pass,pass,pass,through,3,4,3,4,4,4,5,4,4,4,3,51,70
P1-13,P1,Construction workers and site neighbours,A12->S30,cut the path,Fog cannon at the fenceline aimed at the downwind boundary during dusty operations,pass,pass,pass,pass,through,3,4,3,3,3,3,4,4,2,3,3,44,57
P1-14,P1,Construction workers and site neighbours,A12->S30,cut the path,Dense hedge or vegetation screen along the fence facing homes,pass,fail,pass,pass,out,,,,,,,,,,,,,
P1-15,P1,Construction workers and site neighbours,A12->S30,cut the path,"Site layout that puts crushing, mixing and stockpiles at the point furthest from the neighbours' fence",fail,pass,pass,pass,out,,,,,,,,,,,,,
P1-16,P1,Construction workers and site neighbours,A12->X14,cut receptor time or intake,"FFP2 or N95 provision with fit testing for every worker in a dust trade, replaced on a schedule","pass, to verify",pass,"pass, to verify",pass,through,3,5,3,2,3,3,3,5,1,1,2,44,50
P1-17,P1,Construction workers and site neighbours,A12->X14,cut receptor time or intake,"Powered air-purifying respirators for cutters, chippers and grinders (Bello 2019: chipping stayed above the PEL even with N95)","pass, to verify",pass,pass,pass,through,4,4,3,2,2,3,3,5,2,1,3,42,51
P1-18,P1,Construction workers and site neighbours,A12->X14,cut receptor time or intake,Rotation cap on high-dust tasks: no worker more than 2 h a shift on cutting or breaking,"pass, to verify",pass,pass,pass,through,4,4,3,3,3,3,3,5,2,2,4,44,56
P1-19,P1,Construction workers and site neighbours,A12->X14,cut receptor time or intake,"Filtered, pressurised cabs for excavator and loader operators (Azarmi 2016: cabin dose 57x background for coarse particles)",fail,pass,pass,pass,out,,,,,,,,,,,,,
P1-20,P1,Construction workers and site neighbours,A12->X14,cut receptor time or intake,Dust-task scheduling to low-wind hours from the day's forecast,"pass, to verify",pass,pass,pass,through,3,4,3,3,3,3,4,5,3,3,5,45,62
P1-21,P1,Construction workers and site neighbours,A12->X14,cut receptor time or intake,Personal real-time dust badge with a vibrating alert at a set PM2.5 level (Kim 2025: alerts within 20 m),pass,pass,pass,pass,through,4,4,3,3,3,3,5,4,4,2,4,47,63
