src,dst,sign,weight,share,tier,scope,citation,doi_or_url,fetched,evidence
X01,E01,+,3,,1,global,"Chen 2020, Long-term PM and mortality",10.1016/j.envint.2020.105974,yes,"Combined RR for PM2.5 and natural-cause mortality 1.08 (95% CI 1.06 to 1.09) per 10 ug/m3 across 107 studies, high certainty, associations remain below 10 ug/m3."
X01,E02,+,3,,1,global,"Chen 2020, Long-term PM and mortality",10.1016/j.envint.2020.105974,yes,"PM2.5 significantly associated with circulatory, IHD and stroke mortality with high certainty of evidence."
X01,E03,+,2,,1,global,"Chen 2020, Long-term PM and mortality",10.1016/j.envint.2020.105974,yes,"PM2.5 significantly associated with respiratory, COPD and ALRI mortality, certainty rated moderate for respiratory mortality."
S02,E01,+,2,,1,global,"Chen 2020, Long-term PM and mortality",10.1016/j.envint.2020.105974,yes,"PM10 was significantly associated with natural-cause mortality and most but not all causes of death, evidence rated less certain than for PM2.5."
X02,E01,+,1,,1,global,"Huangfu 2020, Long-term NO2 and O3 mortality",10.1016/j.envint.2020.105998,yes,"Summary RR for NO2 and all-cause mortality 1.02 (1.01 to 1.04) per 10 ug/m3 across 24 cohorts, certainty low to moderate."
X02,E03,+,2,,1,global,"Huangfu 2020, Long-term NO2 and O3 mortality",10.1016/j.envint.2020.105998,yes,"NO2 RR 1.03 (1.01 to 1.04) for COPD mortality and 1.06 (1.02 to 1.10) for ALRI mortality per 10 ug/m3, COPD certainty rated high."
S04,E01,+,1,,1,global,"Huangfu 2020, Long-term NO2 and O3 mortality",10.1016/j.envint.2020.105998,yes,"Peak-season O3 metrics gave RR 1.01 (1.00 to 1.02) for all-cause mortality per 10 ug/m3, annual metrics showed no association."
S01,E01,+,2,,1,global,"Orellano 2020, Short-term PM NO2 O3 mortality",10.1016/j.envint.2020.105876,yes,"Short-term PM2.5 RR for all-cause mortality 1.0065 (1.0044 to 1.0086) per 10 ug/m3 from 196 articles, certainty high."
S02,E01,+,1,,1,global,"Orellano 2020, Short-term PM NO2 O3 mortality",10.1016/j.envint.2020.105876,yes,"Short-term PM10 RR for all-cause mortality 1.0041 (1.0034 to 1.0049) per 10 ug/m3, also positive for cardiovascular, respiratory and cerebrovascular mortality."
S03,E01,+,1,,1,global,"Orellano 2020, Short-term PM NO2 O3 mortality",10.1016/j.envint.2020.105876,yes,"Short-term 24-hour NO2 RR for all-cause mortality 1.0072 (1.0059 to 1.0085) per 10 ug/m3."
S04,E01,+,1,,1,global,"Orellano 2020, Short-term PM NO2 O3 mortality",10.1016/j.envint.2020.105876,yes,"Short-term O3 RR for all-cause mortality 1.0043 (1.0034 to 1.0052) per 10 ug/m3."
S01,E02,+,1,,1,global,"Orellano 2020, Short-term PM NO2 O3 mortality",10.1016/j.envint.2020.105876,yes,"PM10 and PM2.5 were positively associated with cardiovascular and cerebrovascular mortality in short-term exposure studies."
X06,E04,+,2,,1,global,"Khreis 2017, TRAP and childhood asthma development",10.1016/j.envint.2016.11.012,yes,"Pooled risk of asthma development 1.03 (1.01 to 1.05) per 1 ug/m3 PM2.5, 1.05 (1.02 to 1.07) per 4 ug/m3 NO2 and 1.08 (1.03 to 1.14) per 0.5 x 10^-5 m^-1 black carbon across 41 studies."
X02,E04,+,2,,1,global,"Khreis 2017, TRAP and childhood asthma development",10.1016/j.envint.2016.11.012,yes,"Childhood NO2 exposure gave pooled RR 1.05 (1.02 to 1.07) per 4 ug/m3 for asthma incidence or lifetime prevalence."
S07,E04,+,2,,1,global,"Khreis 2017, TRAP and childhood asthma development",10.1016/j.envint.2016.11.012,yes,"Black carbon gave RR 1.08 (1.03 to 1.14) per 0.5 x 10^-5 m^-1 with the least heterogeneity of any TRAP metric."
S03,E10,+,2,,1,global,"Zheng 2021, Short-term O3 NO2 SO2 asthma ED visits",10.1016/j.envint.2021.106435,yes,"Pooled RR for asthma emergency visits and admissions 1.014 (1.008 to 1.020) per 10 ug/m3 24-hour NO2, certainty high, 48 of 67 studies included children."
